Nc,scenario,rep,method,theta_hat,ci_low,ci_high,theta_true
50,sc2,6,PSPower,1.1423743694815087,0.8429914292716262,1.4417573096913912,1.0
50,sc2,6,IW,1.2085038169722626,0.8863545018513168,1.5306531320932084,1.0
50,sc2,6,Commensurate,1.1526075423829565,0.8832954336105578,1.424033565337337,1.0
50,sc2,6,NPE,1.3187695741653442,0.6290554537392218,1.9840718528763412,1.0
50,sc2,7,PSPower,0.7165775982595521,0.5014047681496089,0.9317504283694954,1.0
50,sc2,7,IW,0.7226014547057986,0.48881190710785194,0.9563910023037453,1.0
50,sc2,7,Commensurate,0.7592976420153698,0.5242009683777897,1.0030186841723598,1.0
50,sc2,7,NPE,0.9268819093704224,0.4341780162037568,1.4399428465552724,1.0
50,sc2,8,PSPower,0.8878664270264645,0.517947501918183,1.257785352134746,1.0
50,sc2,8,IW,0.9076131425319316,0.4983668937388899,1.3168593913249733,1.0
50,sc2,8,Commensurate,0.8933936959379957,0.5691688201689504,1.2199564208881475,1.0
50,sc2,8,NPE,1.0537995100021362,0.4736284199116981,1.6459178145236375,1.0
50,sc2,9,PSPower,1.2544692410887173,0.8958782864339889,1.6130601957434456,1.0
50,sc2,9,IW,1.2083746249438245,0.8136635385945137,1.6030857112931354,1.0
50,sc2,9,Commensurate,1.2395197189366003,0.9073987890715987,1.5636290972983098,1.0
50,sc2,9,NPE,1.249956488609314,0.5935408726790072,1.899227259743972,1.0
50,sc2,10,PSPower,0.9945282290957828,0.7370409903907567,1.2520154678008089,1.0
50,sc2,10,IW,0.9447822521890042,0.6571623774738996,1.232402126904109,1.0
50,sc2,10,Commensurate,0.9987453505911187,0.7402015800816804,1.2561924721901752,1.0
50,sc2,10,NPE,1.1269572973251343,0.5443917790857182,1.7213668271107658,1.0
50,sc2,11,PSPower,0.8184369667237384,0.48167280578695737,1.1552011276605194,1.0
50,sc2,11,IW,0.7753795730976107,0.39943719476380846,1.151321951431413,1.0
50,sc2,11,Commensurate,0.7664062572587533,0.45484350078819813,1.0739313240730677,1.0
50,sc2,11,NPE,1.0407265424728394,0.40786908487565604,1.666803703793695,1.0
50,sc2,12,PSPower,0.8731123531583076,0.6468650985856872,1.099359607730928,1.0
50,sc2,12,IW,0.8752017818774774,0.6177739483430131,1.1326296154119417,1.0
50,sc2,12,Commensurate,0.8213539195489289,0.5734701724599665,1.0699174965392668,1.0
50,sc2,12,NPE,1.203704595565796,0.5530032001801236,1.8643829456348042,1.0
50,sc2,13,PSPower,0.9696494727861505,0.6917571438777186,1.2475418016945825,1.0
50,sc2,13,IW,0.9898878620055697,0.6834563190915415,1.2963194049195979,1.0
50,sc2,13,Commensurate,1.0120803196879573,0.740480624141922,1.2793049587621137,1.0
50,sc2,13,NPE,1.124562382698059,0.5050109327158828,1.769561279061687,1.0
50,sc2,14,PSPower,1.0302809967362463,0.7461959011843596,1.3143660922881328,1.0
50,sc2,14,IW,0.9777807733399203,0.6694579745641926,1.286103572115648,1.0
50,sc2,14,Commensurate,1.0469488319546667,0.759170180037046,1.325153476051996,1.0
50,sc2,14,NPE,0.8628937005996704,0.3412735000559778,1.3821534307406897,1.0
50,sc2,15,PSPower,0.892982055348022,0.6159660033361907,1.1699981073598533,1.0
50,sc2,15,IW,0.8803795578836612,0.5744014566146272,1.1863576591526952,1.0
50,sc2,15,Commensurate,0.8078635126592442,0.5572474175980656,1.0615847832315766,1.0
50,sc2,15,NPE,1.2006276845932007,0.6176976512903201,1.7985345601273006,1.0
50,sc2,16,PSPower,1.0751764610512768,0.7924515747582264,1.3579013473443273,1.0
50,sc2,16,IW,1.069901918257997,0.769368830276173,1.370435006239821,1.0
50,sc2,16,Commensurate,1.0229418267671948,0.760496286092242,1.2981989473963202,1.0
50,sc2,16,NPE,1.3392332792282104,0.6260450410200447,2.0521858410207465,1.0
50,sc2,17,PSPower,1.0418985947068666,0.7899568648623047,1.2938403245514287,1.0
50,sc2,17,IW,1.0017835002310982,0.7234672529909901,1.2800997474712061,1.0
50,sc2,17,Commensurate,0.9633226700418247,0.7230410407335345,1.2112320681946414,1.0
50,sc2,17,NPE,1.011460304260254,0.2973569746877986,1.714371730308186,1.0
50,sc2,18,PSPower,0.9919740710175979,0.6603101407218384,1.3236380013133575,1.0
50,sc2,18,IW,0.9712266805315359,0.5988267257340802,1.3436266353289916,1.0
50,sc2,18,Commensurate,1.0296700980947258,0.7309770973825179,1.3251401765420405,1.0
50,sc2,18,NPE,1.061277985572815,0.46142179105420905,1.6420241591519182,1.0
50,sc2,19,PSPower,0.8115784455344899,0.5385380594672367,1.084618831601743,1.0
