Nc,scenario,rep,method,theta_hat,ci_low,ci_high,theta_true
50,sc4,31,PSPower,-0.03850786275484836,-0.3809278129311359,0.3039120874214392,0.0
50,sc4,31,IW,-0.010117395715668569,-0.3920118064615679,0.3717770150302308,0.0
50,sc4,31,Commensurate,-0.05795936936962723,-0.373807517960532,0.24709212927643343,0.0
50,sc4,31,NPE,0.031225547194480896,-0.5270664482095155,0.6014776023409082,0.0
50,sc4,32,PSPower,0.08912003380074544,-0.18123865710370735,0.35947872470519826,0.0
50,sc4,32,IW,0.06768026034327311,-0.23434342888234788,0.36970394956889413,0.0
50,sc4,32,Commensurate,0.08818218940267221,-0.14995013661345197,0.34071191223309877,0.0
50,sc4,32,NPE,0.44151002168655396,-0.048245331589533716,0.9251194064854907,0.0
50,sc4,33,PSPower,-0.07478435310964651,-0.3857178273806048,0.23614912116131173,0.0
50,sc4,33,IW,-0.021688311831561013,-0.37236636920341143,0.3289897455402894,0.0
50,sc4,33,Commensurate,-0.07905881813304963,-0.3557549791711515,0.19730540738825827,0.0
50,sc4,33,NPE,0.5076373815536499,-0.0041645632946544385,1.023783607868653,0.0
50,sc4,34,PSPower,0.1303723050092123,-0.19431333535627685,0.45505794537470146,0.0
50,sc4,34,IW,0.1261816832990828,-0.23245311128685947,0.4848164778850251,0.0
50,sc4,34,Commensurate,0.1702542082986124,-0.14405327131300807,0.47816392648279293,0.0
50,sc4,34,NPE,0.3319399356842041,-0.347529226828407,1.000319503380107,0.0
50,sc4,35,PSPower,0.08159854466238026,-0.2554775446881349,0.4186746340128954,0.0
50,sc4,35,IW,0.07861721796641963,-0.2911059305570487,0.44834036648988795,0.0
50,sc4,35,Commensurate,0.08551803360236412,-0.1990511574724544,0.3557146342019206,0.0
50,sc4,35,NPE,0.48280829191207886,-0.11488312013875633,1.0793426614201722,0.0
50,sc4,36,PSPower,0.2088544199605331,-0.04455978517590192,0.46226862509696814,0.0
50,sc4,36,IW,0.14326179962414445,-0.13613428418388926,0.42265788343217814,0.0
50,sc4,36,Commensurate,0.17076131856656168,-0.07505424904474688,0.41359266446570203,0.0
50,sc4,36,NPE,0.4957394599914551,-0.0005448445070097962,0.9858352907016724,0.0
50,sc4,37,PSPower,-0.06528585381944042,-0.3278003576266809,0.1972286499878001,0.0
50,sc4,37,IW,-0.12307358729269634,-0.4161256146066675,0.16997844002127482,0.0
